항목ID,항목코드,항목코드명,,,
B_04_004#1,10,잡지,,,
B_04_004#1,99,없음,,,
B_04_004#2,1,지상파채널,,,
B_04_004#2,2,종합편성채널,,,
B_04_004#2,3,케이블채널,,,
B_04_004#2,4,VOD,,,
B_04_004#2,5,라디오,,,
B_04_004#2,6,DMB,,,
B_04_004#2,7,PC,,,
B_04_004#2,8,모바일기기,,,
B_04_004#2,9,신문,,,
B_04_004#2,10,잡지,,,
B_04_004#2,99,없음,,,
B_04_004#3,1,지상파채널,,,
B_04_004#3,2,종합편성채널,,,
B_04_004#3,3,케이블채널,,,
B_04_004#3,4,VOD,,,
B_04_004#3,5,라디오,,,
B_04_004#3,6,DMB,,,
B_04_004#3,7,PC,,,
B_04_004#3,8,모바일기기,,,
B_04_004#3,9,신문,,,
B_04_004#3,10,잡지,,,
B_04_004#3,99,없음,,,
B_04_004#4,1,지상파채널,,,
B_04_004#4,2,종합편성채널,,,
B_04_004#4,3,케이블채널,,,
B_04_004#4,4,VOD,,,
B_04_004#4,5,라디오,,,
B_04_004#4,6,DMB,,,
B_04_004#4,7,PC,,,
B_04_004#4,8,모바일기기,,,
B_04_004#4,9,신문,,,
B_04_004#4,10,잡지,,,
B_04_004#4,99,없음,,,
B_04_004#5,1,지상파채널,,,
B_04_004#5,2,종합편성채널,,,
B_04_004#5,3,케이블채널,,,
B_04_004#5,4,VOD,,,
B_04_004#5,5,라디오,,,
B_04_004#5,6,DMB,,,
B_04_004#5,7,PC,,,
B_04_004#5,8,모바일기기,,,
B_04_004#5,9,신문,,,
B_04_004#5,10,잡지,,,
B_04_004#5,99,없음,,,
B_04_004#6,1,지상파채널,,,
B_04_004#6,2,종합편성채널,,,
B_04_004#6,3,케이블채널,,,
B_04_004#6,4,VOD,,,
B_04_004#6,5,라디오,,,
B_04_004#6,6,DMB,,,
B_04_004#6,7,PC,,,
B_04_004#6,8,모바일기기,,,
B_04_004#6,9,신문,,,
B_04_004#6,10,잡지,,,
B_04_004#6,99,없음,,,
B_04_004#7,1,지상파채널,,,
B_04_004#7,2,종합편성채널,,,
B_04_004#7,3,케이블채널,,,
B_04_004#7,4,VOD,,,
B_04_004#7,5,라디오,,,
B_04_004#7,6,DMB,,,
B_04_004#7,7,PC,,,
B_04_004#7,8,모바일기기,,,
B_04_004#7,9,신문,,,
B_04_004#7,10,잡지,,,
B_04_004#7,99,없음,,,
B_04_004#8,1,지상파채널,,,
B_04_004#8,2,종합편성채널,,,
B_04_004#8,3,케이블채널,,,
B_04_004#8,4,VOD,,,
B_04_004#8,5,라디오,,,
B_04_004#8,6,DMB,,,
B_04_004#8,7,PC,,,
B_04_004#8,8,모바일기기,,,
B_04_004#8,9,신문,,,
B_04_004#8,10,잡지,,,
B_04_004#8,99,없음,,,
B_04_004#9,1,지상파채널,,,
B_04_004#9,2,종합편성채널,,,
B_04_004#9,3,케이블채널,,,
B_04_004#9,4,VOD,,,
B_04_004#9,5,라디오,,,
B_04_004#9,6,DMB,,,
B_04_004#9,7,PC,,,
B_04_004#9,8,모바일기기,,,
B_04_004#9,9,신문,,,
B_04_004#9,10,잡지,,,
B_04_004#9,99,없음,,,
B_04_004#10,1,지상파채널,,,
B_04_004#10,2,종합편성채널,,,
B_04_004#10,3,케이블채널,,,
B_04_004#10,4,VOD,,,
B_04_004#10,5,라디오,,,
B_04_004#10,6,DMB,,,
B_04_004#10,7,PC,,,
B_04_004#10,8,모바일기기,,,
B_04_004#10,9,신문,,,
B_04_004#10,10,잡지,,,
B_04_004#10,99,없음,,,
B_04_005#1,1,지상파채널,,,
B_04_005#1,2,종합편성채널,,,
B_04_005#1,3,케이블채널,,,
B_04_005#1,4,VOD,,,
B_04_005#1,5,라디오,,,
B_04_005#1,6,DMB,,,
B_04_005#1,7,PC,,,
B_04_005#1,8,모바일기기,,,
B_04_005#1,9,신문,,,
B_04_005#1,10,잡지,,,
B_04_005#1,99,없음,,,
B_04_005#2,1,지상파채널,,,
B_04_005#2,2,종합편성채널,,,
B_04_005#2,3,케이블채널,,,
B_04_005#2,4,VOD,,,
B_04_005#2,5,라디오,,,
B_04_005#2,6,DMB,,,
B_04_005#2,7,PC,,,
B_04_005#2,8,모바일기기,,,
B_04_005#2,9,신문,,,
B_04_005#2,10,잡지,,,
B_04_005#2,99,없음,,,
B_04_005#3,1,지상파채널,,,
B_04_005#3,2,종합편성채널,,,
B_04_005#3,3,케이블채널,,,
B_04_005#3,4,VOD,,,
B_04_005#3,5,라디오,,,
B_04_005#3,6,DMB,,,
B_04_005#3,7,PC,,,
B_04_005#3,8,모바일기기,,,
B_04_005#3,9,신문,,,
B_04_005#3,10,잡지,,,
B_04_005#3,99,없음,,,
B_04_005#4,1,지상파채널,,,
B_04_005#4,2,종합편성채널,,,
B_04_005#4,3,케이블채널,,,
B_04_005#4,4,VOD,,,
B_04_005#4,5,라디오,,,
B_04_005#4,6,DMB,,,
B_04_005#4,7,PC,,,
B_04_005#4,8,모바일기기,,,
B_04_005#4,9,신문,,,
B_04_005#4,10,잡지,,,
B_04_005#4,99,없음,,,
B_04_005#5,1,지상파채널,,,
B_04_005#5,2,종합편성채널,,,
B_04_005#5,3,케이블채널,,,
B_04_005#5,4,VOD,,,
B_04_005#5,5,라디오,,,
B_04_005#5,6,DMB,,,
B_04_005#5,7,PC,,,
B_04_005#5,8,모바일기기,,,
B_04_005#5,9,신문,,,
B_04_005#5,10,잡지,,,
B_04_005#5,99,없음,,,
B_04_005#6,1,지상파채널,,,
B_04_005#6,2,종합편성채널,,,
B_04_005#6,3,케이블채널,,,
B_04_005#6,4,VOD,,,
B_04_005#6,5,라디오,,,
B_04_005#6,6,DMB,,,
B_04_005#6,7,PC,,,
B_04_005#6,8,모바일기기,,,
B_04_005#6,9,신문,,,
B_04_005#6,10,잡지,,,
B_04_005#6,99,없음,,,
B_04_005#7,1,지상파채널,,,
B_04_005#7,2,종합편성채널,,,
B_04_005#7,3,케이블채널,,,
B_04_005#7,4,VOD,,,
B_04_005#7,5,라디오,,,
B_04_005#7,6,DMB,,,
B_04_005#7,7,PC,,,
B_04_005#7,8,모바일기기,,,
B_04_005#7,9,신문,,,
B_04_005#7,10,잡지,,,
B_04_005#7,99,없음,,,
B_04_005#8,1,지상파채널,,,
B_04_005#8,2,종합편성채널,,,
B_04_005#8,3,케이블채널,,,
B_04_005#8,4,VOD,,,
B_04_005#8,5,라디오,,,
B_04_005#8,6,DMB,,,
B_04_005#8,7,PC,,,
B_04_005#8,8,모바일기기,,,
B_04_005#8,9,신문,,,
B_04_005#8,10,잡지,,,
B_04_005#8,99,없음,,,
B_04_005#9,1,지상파채널,,,
B_04_005#9,2,종합편성채널,,,
